,Title,Description
0,3D,3D modeling is the process of virtually developing the surface and structure of a 3D object.
1,Ajax,Ajax is a technique for creating interactive web applications.
2,Algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.
3,Amp,Amp is a non-blocking concurrency framework for PHP.
4,Android,Android is an operating system built by Google designed for mobile devices.
5,Angular,Angular is an open source web application platform.
6,Ansible,Ansible is a simple and powerful automation engine.
7,API,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
8,Arduino,Arduino is an open source hardware and software company and maker community.
9,ASP.NET,ASP.NET is a web framework for building modern web apps and services.
10,Atom,Atom is a open source text editor built with web technologies.
11,AwesomeLists,An awesome list is a list of awesome things curated by the community.
12,AmazonWebServices,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
13,Azure,Azure is a cloud computing service created by Microsoft.
14,Babel,"Babel is a compiler for writing next generation JavaScript, today."
15,Bash,Bash is a shell and command language interpreter for the GNU operating system.
16,Bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
17,Bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework."
18,Bot,A bot is an application that runs automated tasks over the Internet.
19,C,C is a general purpose programming language that first appeared in 1972.
20,Chrome,Chrome is a web browser from the tech company Google.
21,Chromeextension,Google Chrome Extensions are add-ons that allow users to customize their Chrome web browser.
22,Commandlineinterface,"A CLI, or command-line interface, is a console that helps users issue commands to a program."
23,Clojure,"Clojure is a dynamic, general-purpose programming language."
24,Codequality,"Automate your code review with style, quality, security, and testâ€‘coverage checks when you need them."
25,Codereview,Ensure your code meets quality standards and ship with confidence.
26,Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
27,Continuousintegration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production."
28,COVID-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.
29,C++,C++ is a general purpose and object-oriented programming language.
